cadence,x,y
,1,1
95497,1019.585257,938.438002
95498,1019.567302,938.426308
95499,1019.559519,938.430625
95500,1019.552994,938.439330
95501,1019.533130,938.437072
95502,1019.518543,938.449756
95503,1019.515415,938.446632
95504,1019.498560,938.443136
95505,1019.489017,938.441126
95506,1019.495314,938.453599
95507,1019.486725,938.450792
95508,1019.479041,938.447877
95509,1019.475634,938.462505
95510,1019.466121,938.452938
95511,1019.461350,938.452550
95512,1019.448253,938.462710
95513,1019.455392,938.452384
95514,1019.451725,938.458021
95515,1019.442385,938.456117
95516,1019.437777,938.457609
95517,1019.426884,938.449248
95518,1019.431332,938.449307
95519,1019.422886,938.452486
95520,1019.411996,938.464670
95521,1019.388256,938.459003
95522,1019.356406,938.466236
95523,1019.353407,938.466542
95524,1019.349790,938.467017
95525,1019.373755,938.482235
95526,1019.360311,938.483534
95527,1019.342275,938.508271
95528,1019.325514,938.470121
95529,1019.314621,938.445601
95530,1019.287764,938.445041
95531,1019.253541,938.446215
95532,1019.220186,938.447997
95533,1019.208546,938.455503
95534,1019.201954,938.454781
95535,1019.181304,938.453666
95536,1019.191223,938.439475
95537,1019.190889,938.435987
95538,1019.180362,938.469506
95539,1019.178845,938.473013
95540,1019.167998,938.477070
95541,1019.162722,938.482670
95542,1019.147426,938.466321
95543,1019.152504,938.471188
95544,1019.143991,938.483418
95545,1019.143951,938.488264
95546,1018.412665,937.367566
95547,1017.566766,936.261058
95548,1017.537546,936.264063
95549,1017.543599,936.255777
95550,1017.544317,936.271473
95551,1017.530838,936.264628
95552,1017.533719,936.260648
95553,1017.531017,936.255729
95554,1018.213250,936.305425
95555,1018.302132,936.276424
95556,1018.298426,936.269464
95557,1018.300318,936.277411
95558,1018.294055,936.269141
95559,1018.304789,936.299822
95560,1018.300467,936.283039
95561,1018.290448,936.314608
95562,1018.288253,936.292079
95563,1018.315535,936.322895
95564,1018.307345,936.297155
95565,1018.309685,936.288199
95566,1018.269656,936.269467
95567,1018.286595,936.267752
95568,1018.305327,936.338089
95569,1018.294216,936.273199
95570,1018.312618,936.283892
95571,1018.305055,936.271633
95572,1018.306093,936.289200
95573,1018.307991,936.274918
95574,1018.244372,936.400464
95575,1018.230389,936.411048
95576,1018.292804,936.272000
95577,1018.286988,936.344190
95578,1018.292530,936.278639
95579,1018.326993,936.310702
95580,1018.318586,936.310396
95581,1018.326102,936.316715
95582,1018.344485,936.319671
95583,1018.335435,936.364614
95584,1018.303227,936.360161
95585,1018.267802,936.393034
95586,1018.290518,936.358279
95587,1018.268718,936.404017
95588,1018.280831,936.403977
95589,1018.317506,936.358213
95591,1018.099374,936.385591
95592,1018.120568,936.427887
95593,1018.131595,936.438658
95594,1018.099428,936.367273
95595,1018.118718,936.386958
95596,1018.064810,936.297430
95597,1018.115291,936.387849
95598,1018.110679,936.390887
95599,1018.074725,936.281915
95600,1018.085710,936.296150
95601,1018.112536,936.289675
95602,1018.114767,936.285653
95603,1018.113218,936.284412
95604,1018.111871,936.294101
95605,1018.113754,936.298435
95606,1018.120152,936.290142
95607,1018.123012,936.287145
95608,1018.130126,936.291911
95609,1018.134351,936.299306
95610,1018.139771,936.297547
95611,1018.147430,936.295228
95612,1018.161705,936.285495
95613,1018.149276,936.290505
95614,1018.146790,936.298456
95615,1018.159521,936.299479
95616,1018.168257,936.293926
95617,1018.176581,936.298029
95618,1018.181884,936.303569
95619,1018.206767,936.298643
95620,1018.245562,936.308006
95621,1018.272705,936.308961
95622,1018.267309,936.331560
95623,1018.271508,936.290510
95624,1018.292324,936.362036
95625,1018.298836,936.298807
95626,1018.320210,936.315587
95627,1018.333959,936.358926
95628,1018.264561,936.365415
95629,1018.275237,936.402593
95630,1018.361447,936.301563
95631,1018.248332,936.410999
95632,1018.372252,936.301290
95633,1018.376485,936.304351
95634,1018.372764,936.309745
95635,1018.382797,936.305886
95636,1018.414079,936.304871
95637,1018.432601,936.301832
95638,1018.446062,936.305848
95639,1018.458882,936.299948
95640,1018.466180,936.303829
95641,1018.469935,936.316121
95642,1018.486944,936.300695
95643,1018.490961,936.314145
95644,1018.512368,936.304662
95645,1018.523612,936.292459
95646,1018.524900,936.287411
95647,1018.544814,936.290072
95648,1018.554127,936.302750
95649,1018.565946,936.297936
95650,1018.589905,936.300691
95651,1018.599039,936.299871
95652,1018.601115,936.306531
95653,1018.613594,936.290544
95654,1018.619171,936.300435
95655,1018.631687,936.306792
95656,1018.631740,936.309329
95657,1018.642369,936.308006
95658,1018.658027,936.301980
95659,1018.672717,936.293715
95660,1018.686234,936.303587
95661,1018.701473,936.311076
95662,1018.121904,936.284227
95663,1018.060477,936.285284
95664,1018.079345,936.286009
95665,1018.147496,936.391574
95666,1018.167763,936.391316
95667,1018.157756,936.348503
95668,1018.126229,936.305974
95669,1018.127270,936.295719
95670,1018.146897,936.295247
95671,1018.151652,936.275890
95672,1018.144484,936.285617
95673,1018.160580,936.280414
95674,1018.161751,936.282209
95675,1018.167219,936.290694
95676,1018.198322,936.279436
95677,1018.209200,936.299757
95678,1018.238238,936.311401
95679,1018.247670,936.287439
95680,1018.283426,936.345862
95681,1018.301288,936.336940
95682,1018.297777,936.290544
95683,1018.287363,936.397371
95684,1018.293157,936.376381
95685,1018.294471,936.408582
95706,1018.495601,936.316133
95707,1018.520405,936.305198
95708,1018.524046,936.320109
95709,1018.547611,936.301063
95710,1018.558243,936.290777
95711,1018.561255,936.302770
95715,1018.604649,936.303798
95716,1018.601223,936.309152
95717,1018.614591,936.321155
95718,1018.632423,936.291955
95719,1018.627323,936.314115
95720,1018.634435,936.309090
95721,1018.646568,936.314094
95722,1018.261078,936.344869
95723,1018.198875,936.308051
95724,1018.220519,936.320163
95725,1018.247350,936.347794
95726,1018.272848,936.306441
95727,1018.231940,936.393134
95728,1018.294525,936.319612
95729,1018.284718,936.342055
95730,1018.289436,936.301956
95731,1018.301679,936.313255
95732,1018.311319,936.330051
95733,1018.312688,936.341930
95734,1018.320962,936.391619
95735,1018.250018,936.396190
95736,1018.218268,936.417950
95737,1018.275202,936.419320
95738,1018.370002,936.305804
95739,1018.388698,936.312969
95740,1018.398847,936.319472
95741,1018.406881,936.329795
95742,1018.437636,936.313896
95743,1018.454437,936.312174
95744,1018.469034,936.318493
95745,1018.476724,936.309390
95746,1018.491756,936.321225
95747,1018.497069,936.326286
95748,1018.516001,936.322897
95749,1018.527755,936.313665
95750,1018.543645,936.316826
95751,1018.562116,936.315583
95752,1018.564662,936.322206
95753,1018.569291,936.319533
95754,1018.576549,936.311165
95755,1018.612420,936.322088
95756,1018.627847,936.321224
95757,1018.641181,936.322598
95758,1018.299882,936.302639
95759,1018.138893,936.296690
95760,1018.158574,936.301196
95761,1018.165233,936.302598
95762,1018.195125,936.309188
95763,1018.211770,936.315553
95764,1018.225479,936.417098
95765,1018.194616,936.420590
95766,1018.245162,936.313509
95767,1018.273687,936.299177
95768,1018.245738,936.418689
95769,1018.328700,936.335400
95770,1018.257829,936.398622
95771,1018.278736,936.446582
95772,1018.381181,936.312637
