cadence,x,y
,1,1
95497,995.059679,968.058888
95498,995.042004,968.047195
95499,995.034259,968.051145
95500,995.027407,968.059653
95501,995.007285,968.057825
95502,994.992251,968.070576
95503,994.989230,968.067491
95504,994.972228,968.064029
95505,994.962716,968.061629
95506,994.969333,968.074295
95507,994.960535,968.071631
95508,994.953196,968.068607
95509,994.949654,968.083489
95510,994.940186,968.073851
95511,994.935317,968.073530
95512,994.922099,968.083489
95513,994.929097,968.073220
95514,994.925117,968.079023
95515,994.916012,968.076891
95516,994.911246,968.078006
95517,994.900394,968.069907
95518,994.905031,968.070070
95519,994.896081,968.072963
95520,994.885221,968.085097
95521,994.861427,968.079540
95522,994.829072,968.086414
95523,994.825954,968.086803
95524,994.822312,968.087159
95525,994.846927,968.103150
95526,994.833302,968.104890
95527,994.815518,968.129262
95528,994.798218,968.090721
95529,994.787073,968.065299
95530,994.760413,968.065116
95531,994.725416,968.066034
95532,994.692162,968.067733
95533,994.679502,968.075743
95534,994.673001,968.075078
95535,994.652586,968.073677
95536,994.662172,968.059737
95537,994.661428,968.055737
95538,994.651279,968.089147
95539,994.650008,968.093089
95540,994.638994,968.097009
95541,994.633480,968.102361
95542,994.618399,968.086276
95543,994.623447,968.091096
95544,994.615355,968.103053
95545,994.615312,968.107820
95546,993.884901,966.986547
95547,993.038053,965.880582
95548,993.009001,965.884257
95549,993.014987,965.875126
95550,993.015268,965.890644
95551,993.002139,965.884498
95552,993.004774,965.879796
95553,993.002070,965.875214
95554,993.689174,965.928453
95555,993.779280,965.900624
95556,993.775204,965.893456
95557,993.777316,965.901429
95558,993.770862,965.892980
95559,993.781494,965.923250
95560,993.776889,965.906446
95561,993.767306,965.938272
95562,993.764677,965.916115
95563,993.792699,965.947283
95564,993.784237,965.920768
95565,993.786536,965.912361
95566,993.746286,965.893552
95567,993.763160,965.891923
95568,993.782232,965.962540
95569,993.771248,965.897401
95570,993.789675,965.908601
95571,993.782147,965.896090
95572,993.782945,965.913542
95573,993.784980,965.899119
95574,993.715415,966.024618
95575,993.705037,966.033570
95576,993.769808,965.896182
95577,993.762663,965.969454
95578,993.769575,965.902809
95579,993.804206,965.934618
95580,993.795844,965.934605
95581,993.803182,965.941321
95582,993.821946,965.943745
95583,993.812344,965.990058
95584,993.778923,965.985906
95585,993.744653,966.018066
95586,993.766445,965.980905
95587,993.744763,966.025611
95588,993.757741,966.029271
95589,993.793954,965.983410
95591,993.571502,966.008518
95592,993.594130,966.054065
95593,993.605843,966.062054
95594,993.572584,965.990469
95595,993.591172,966.011093
95596,993.538154,965.918786
95597,993.588277,966.012323
95598,993.583084,966.015983
95599,993.549147,965.904544
95600,993.560173,965.918333
95601,993.586813,965.911273
95602,993.589107,965.908434
95603,993.587206,965.907682
95604,993.586521,965.917089
95605,993.588713,965.921405
95606,993.594793,965.913314
95607,993.597579,965.910622
95608,993.605623,965.914895
95609,993.609245,965.922618
95610,993.615018,965.920932
95611,993.622600,965.919097
95612,993.636936,965.909188
95613,993.624633,965.914178
95614,993.622131,965.922053
95615,993.634963,965.923139
95616,993.643634,965.917822
95617,993.652120,965.921905
95618,993.657717,965.927296
95619,993.682659,965.922436
95620,993.721395,965.931560
95621,993.748415,965.932913
95622,993.743264,965.955121
95623,993.747688,965.914304
95624,993.767972,965.987252
95625,993.775481,965.922660
95626,993.797138,965.939482
95627,993.810005,965.983565
95628,993.740130,965.988336
95629,993.747175,966.027684
95630,993.838369,965.925619
95631,993.720081,966.035432
95632,993.848999,965.925461
95633,993.853662,965.928686
95634,993.849794,965.934172
95635,993.859691,965.930084
95636,993.891605,965.929363
95637,993.910306,965.926663
95638,993.923711,965.930578
95639,993.936361,965.924735
95640,993.943486,965.928753
95641,993.947050,965.941172
95642,993.964137,965.925279
95643,993.968204,965.939085
95644,993.989625,965.929362
95645,994.001312,965.917457
95646,994.002576,965.911792
95647,994.022340,965.915164
95648,994.031794,965.928049
95649,994.043765,965.922891
95650,994.067292,965.926351
95651,994.076867,965.925596
95652,994.078767,965.932255
95653,994.091498,965.915977
95654,994.096889,965.926255
95655,994.109364,965.932814
95656,994.109380,965.935244
95657,994.119868,965.933485
95658,994.135764,965.927875
95659,994.150197,965.919222
95660,994.163984,965.929420
95661,994.179342,965.937354
95662,993.596611,965.906718
95663,993.534776,965.908269
95664,993.553094,965.908483
95665,993.620394,966.016521
95666,993.641703,966.016317
95667,993.632636,965.971866
95668,993.601192,965.929278
95669,993.602092,965.917680
95670,993.622026,965.918994
95671,993.627038,965.899249
95672,993.619714,965.909215
95673,993.635813,965.904187
95674,993.637020,965.906059
95675,993.642704,965.914580
95676,993.674065,965.903648
95677,993.684882,965.923421
95678,993.714050,965.935009
95679,993.723830,965.911340
95680,993.759589,965.970084
95681,993.777836,965.960914
95682,993.774216,965.914522
95683,993.763155,966.023448
95684,993.769003,965.999627
95685,993.770745,966.031099
95706,993.972887,965.941177
95707,993.997977,965.930035
95708,994.001485,965.945237
95709,994.025131,965.926306
95710,994.035860,965.915457
95711,994.038918,965.928093
95715,994.082357,965.929190
95716,994.078946,965.934672
95717,994.092369,965.946642
95718,994.109859,965.917448
95719,994.104804,965.940127
95720,994.111928,965.934769
95721,994.123935,965.940237
95722,993.737036,965.968626
95723,993.674349,965.931936
95724,993.696169,965.943537
95725,993.723056,965.971448
95726,993.748577,965.929796
95727,993.706327,966.015753
95728,993.770871,965.943516
95729,993.761247,965.966159
95730,993.766036,965.925675
95731,993.778553,965.937513
95732,993.787992,965.954165
95733,993.789373,965.966216
95734,993.797991,966.015949
95735,993.727740,966.019813
95736,993.691596,966.042375
95737,993.746494,966.045012
95738,993.847155,965.930169
95739,993.865840,965.937240
95740,993.876281,965.944125
95741,993.884429,965.954565
95742,993.915244,965.938728
95743,993.931900,965.937021
95744,993.946114,965.943460
95745,993.954077,965.933636
95746,993.968984,965.945970
95747,993.974417,965.951181
95748,993.993523,965.947467
95749,994.005281,965.938618
95750,994.021079,965.941888
95751,994.039618,965.940584
95752,994.042305,965.947331
95753,994.047049,965.944749
95754,994.054450,965.936205
95755,994.089829,965.947447
95756,994.105352,965.946752
95757,994.118549,965.948082
95758,993.775731,965.926496
95759,993.614629,965.919898
95760,993.633891,965.924837
95761,993.640609,965.926184
95762,993.670877,965.933035
95763,993.687250,965.939239
95764,993.701086,966.042010
95765,993.669956,966.042085
95766,993.720747,965.937436
95767,993.749949,965.922832
95768,993.721614,966.044300
95769,993.804933,965.958632
95770,993.735716,966.020025
95771,993.756171,966.070002
95772,993.858115,965.936982
95773,993.891000,965.962374
95774,993.921082,965.958290
95775,993.947232,965.949937
95776,993.965931,965.949619
95777,993.985533,965.941507
95778,994.021628,965.948777
95779,994.033344,965.949738
95780,994.075589,965.941857
95781,994.086981,965.939842
95783,993.980162,965.949818
95784,994.004212,965.937649
95785,994.014574,965.946661
95786,994.043753,965.942919
95787,994.054723,965.946132
95788,994.072411,965.936314
95789,994.081907,965.933371
95790,994.096469,965.949440
95791,994.111805,965.960508
95792,994.122357,965.957217
95793,994.141239,965.948508
95794,993.810784,965.940259
95795,993.692863,966.019827
95796,993.757061,966.007430
95797,993.712793,966.042604
95798,993.800993,965.982380
95799,993.771915,966.053797
95800,993.758492,966.031260
95801,993.762964,966.024385
95802,993.829373,965.935924
95803,993.828325,965.953817
95804,993.845337,965.942222
95805,993.896178,965.928402
95806,993.907779,965.939565
95807,993.933544,965.950294
95808,993.957654,965.957113
95809,993.967087,965.959425
95810,993.984670,965.956804
95811,994.014438,965.943442
95812,994.046706,965.940283
95813,994.090411,965.962330
95814,994.096725,965.947085
95815,994.110064,965.947374
95816,994.126345,965.947354
95817,994.141541,965.947958
95818,993.777239,965.954769
95819,993.755946,965.955307
95820,993.709951,966.037226
95821,993.791658,966.016480
95822,993.818877,965.938535
95823,993.836586,965.941890
95824,993.855270,965.946037
95825,993.881652,965.955754
95826,993.924492,965.942705
95827,993.941450,965.950390
95828,993.961761,965.949290
95829,993.976700,965.951772
95830,993.997970,965.939898
95831,994.013305,965.948206
95832,994.033494,965.958215
95833,994.044709,965.949838
95834,994.081791,965.962074
95835,994.098358,965.956750
95836,994.111502,965.951567
95837,994.129018,965.967912
95838,994.146509,965.960083
95839,994.172698,965.963068
95840,994.207251,965.955323
95841,994.227509,965.956178
95842,993.822597,965.936682
95843,993.791097,965.967226
95844,993.751583,966.028974
95845,993.777312,966.027146
95846,993.848117,965.944735
95847,993.879325,965.959624
95848,993.908119,965.953124
95849,993.918891,965.950854
95850,993.939025,965.951514
95851,993.963863,965.944441
95852,993.980293,965.953241
95853,994.001419,965.945912
95854,994.024762,965.949239
95855,994.047971,965.956020
95856,994.066504,965.960107
95857,994.089148,965.963956
95858,994.110193,965.952205
95859,994.136031,965.957883
95860,994.160299,965.958214
95861,994.187199,965.967405
95862,994.213785,965.962558
95863,994.233419,965.962797
95864,994.258256,965.957124
95865,994.287667,965.964537
95866,993.876906,965.958398
95867,993.844381,965.935168
95868,993.862248,965.949708
95869,993.895184,965.965221
95870,993.923592,965.968923
95871,993.938618,965.953561
95872,993.953941,965.966300
95873,993.987771,965.943504
95874,994.006299,965.958015
95875,994.034577,965.942403
95876,994.049717,965.957895
95877,994.065150,965.953503
95880,993.612246,965.925795
95881,993.631602,965.928698
95882,993.645010,965.940837
95883,993.663984,965.945874
95884,993.674366,965.944569
95885,993.685895,965.948890
95886,993.713423,965.956800
95887,993.691634,966.048301
95888,993.720254,965.950958
95889,993.749320,965.943181
95890,993.725857,966.039702
95891,993.795494,965.956858
95892,993.733646,966.026640
95893,993.826296,965.933500
95894,993.837062,965.932216
95895,993.837957,965.944877
95896,993.865556,965.943400
95897,993.897516,965.950844
95898,993.922335,965.961670
95899,993.937382,965.958846
95900,993.955685,965.952693
95901,993.966927,965.956818
95902,993.974541,965.950266
95903,993.996207,965.961256
95904,994.023815,965.970309
95905,994.031802,965.961813
95906,994.057011,965.940805
95907,994.074882,965.950139
95908,994.094379,965.951588
95909,994.110231,965.942861
95910,994.126627,965.956120
95911,994.140307,965.958639
95912,994.140379,965.963062
95913,994.160670,965.961679
95914,993.734694,965.958748
95915,993.675623,965.942574
95916,993.701727,965.940362
95917,993.733138,966.016269
95918,993.746266,965.920843
95919,993.776371,966.010440
95920,993.786981,965.960758
95921,993.753112,966.058102
95922,993.760545,966.054924
95923,993.826968,965.945995
95924,993.865085,965.945193
95925,993.888147,965.946731
95926,993.909344,965.950054
95927,993.922837,965.957860
95928,993.953012,965.959006
95929,993.980687,965.953440
95930,994.001434,965.955442
95931,994.029411,965.953081
95932,994.050136,965.937637
95933,994.086634,965.955600
95934,994.097657,965.962249
95935,994.122835,965.965697
95936,994.141188,965.959798
95937,994.162934,965.970165
95938,993.886217,966.043425
95939,993.889805,965.946781
95940,993.934496,965.945267
95941,993.968446,965.945933
95942,993.978653,965.940882
95943,993.988980,965.967373
95944,994.029500,965.955077
95945,994.066430,965.950584
95946,994.094604,965.953599
95947,994.113431,965.961225
95948,994.130051,965.957948
95949,994.168088,965.966903
95950,993.868863,965.939566
95951,993.723520,966.040750
95952,993.798345,965.945725
95953,993.761258,966.034121
95954,993.846835,965.948984
95955,993.877554,965.948732
95956,993.904301,965.965630
95957,993.932109,965.970023
95958,993.989628,965.964659
95959,994.001814,965.961452
95960,994.035472,965.952582
95961,994.054303,965.948759
95962,994.074357,965.961709
95963,994.105190,965.957719
95964,994.136513,965.968070
95965,994.162098,965.959306
95966,994.207216,965.969398
95967,994.237252,965.961026
95968,994.271356,965.972340
95969,994.303264,965.973730
95970,994.332266,965.967783
95971,994.364642,965.970406
95972,994.383658,965.969387
95973,994.409435,965.983634
95975,993.755139,965.964426
95976,993.688595,965.942987
95977,993.730770,965.997341
95978,993.749420,966.008655
95979,993.772471,965.979233
95980,993.793820,966.016062
95981,993.767271,966.043401
95982,993.831929,965.946182
95983,993.836867,965.955430
95984,993.853837,965.956492
95985,993.884392,965.967098
95986,993.901656,965.966212
95987,993.939335,965.961035
95988,993.961805,965.966966
95989,993.978112,965.962823
95990,994.012354,965.972623
95991,994.049735,965.969230
95992,994.065725,965.975229
95993,994.100897,965.966650
95994,994.121896,965.966444
95995,994.139282,965.965195
95996,994.171039,965.964536
95997,994.211216,965.964172
95998,993.771106,965.952076
95999,993.682159,966.047041
96000,993.659069,966.052841
96001,993.770465,965.941915
96002,993.804034,966.052228
96003,993.779263,966.059858
96004,993.870862,965.946582
96005,993.882912,965.963055
96006,993.910187,965.962618
96007,993.946627,965.966998
96008,993.971717,965.963045
96009,994.000719,965.950651
96010,994.022603,965.970293
96011,994.058819,965.962477
96012,994.085375,965.954561
96013,994.109426,965.950151
96014,994.123605,965.975462
96015,994.145625,965.964581
96016,994.178474,965.974134
96017,994.204637,965.964684
96018,994.234108,965.974698
96019,994.275444,965.963851
96020,994.286601,965.974339
96021,994.330443,965.968080
96022,993.929709,965.973048
96023,993.901596,965.980676
96024,993.934707,965.968249
96025,993.993495,965.961470
96026,994.022531,965.960469
96027,994.050325,965.952853
96028,994.067832,965.965000
96029,994.087860,965.966364
96030,994.113196,965.969280
96031,994.130029,965.962941
96032,994.155606,965.965025
96033,994.177433,965.970622
96034,993.758727,965.945802
96035,993.636894,965.937580
96036,993.673469,965.938171
96037,993.684140,966.041846
96038,993.750449,966.007710
96039,993.776521,965.951437
96040,993.811050,965.977658
96041,993.759236,966.047940
96042,993.775103,966.053696
96043,993.859260,965.954498
96044,993.897146,965.958542
96045,993.905502,965.957447
96046,993.916162,965.966708
96047,993.924819,965.967861
96048,993.931013,965.967637
96049,993.955184,965.971044
96050,993.977488,965.965718
96051,994.008983,965.968097
96052,994.020928,965.960521
96053,994.030968,965.963265
96054,994.050307,965.965114
96055,994.070128,965.952365
96056,994.079428,965.961392
96057,994.091961,965.969253
96058,994.099288,965.964696
96059,994.107033,965.958878
96060,994.123803,965.962261
96061,994.134843,965.969600
96062,994.149548,965.964505
96063,994.179802,965.957894
96064,994.187972,965.968888
96065,994.207557,965.975455
96066,994.228229,965.968624
96067,994.265061,965.973948
96068,994.295945,965.973885
96069,994.319892,965.966579
96071,993.710369,966.003489
96072,993.678048,965.938355
96073,993.723225,965.949712
96074,993.746340,965.956520
96075,993.801723,966.017248
96076,993.730728,966.046207
96077,993.831213,965.957399
96078,993.853198,965.960653
96079,993.879839,965.969357
96080,993.901108,965.966378
96081,993.955159,965.969216
96082,993.973440,965.967938
96083,994.013210,965.961175
96084,994.046257,965.950979
96085,994.074714,965.964656
96086,994.099273,965.954009
96087,994.116356,965.960236
96088,994.137293,965.963416
96089,994.168469,965.969436
96090,994.197471,965.983763
96091,994.221110,965.976359
96092,994.258356,965.968662
96093,994.275532,965.961187
96094,993.813495,965.966857
96095,993.750078,966.051184
96096,993.719101,966.036331
96097,993.848148,965.948099
96098,993.906047,965.959588
96099,993.933590,965.963759
96100,993.967916,965.960610
96101,993.986988,965.962960
96102,994.013670,965.968368
96103,994.044112,965.961060
96104,994.070744,965.966674
96105,994.087425,965.964763
96106,993.688252,965.946578
96107,993.641249,965.939397
96108,993.669482,965.943288
96109,993.697093,965.965779
96110,993.732615,966.016280
96111,993.720106,965.961655
96112,993.769395,965.954643
96113,993.807996,966.011416
96114,993.739322,966.055012
96115,993.842808,965.938805
96116,993.883645,965.960147
96117,993.908697,965.974850
96118,993.940635,965.967123
96119,993.965820,965.966482
96120,993.998104,965.969218
